S.No.,Test Parameters,Unit,Specification Type,140 GSM,145 GSM,Test Method Reference
1,Grammage,g/m2,,±3.0%,±3.0%,IS 1060 (1)
2,Bulk,cc/gm,,1.20±0.05,1.20±0.05,-
3,Breaking Length (MD),meters,Min,5600,5600,IS 1060 (1)
3,Breaking Length (CD),meters,Min,2800,2800,IS 1060 (1)
4,Cobb Value (60 Secs),g/m2,Max,28,28,IS 1060 (1)
5,Brightness ISO,%,,78±1,78±1,ISO 2470 (1)
6,Bendtsen Smoothness (TS),ml/min,Max,300,300,IS 9894
6,Bendtsen Smoothness (WS),ml/min,Max,400,400,IS 9894
7,Wax Pick (TS/WS),No.,Min,14A,14A,IS 1060 (3)
8,Stiffness (MD),gm.cm/15°,Taber,16±2,16±2,IS 1060 (3)
8,Stiffness (CD),gm.cm/15°,Taber,7±2,7±2,IS 1060 (3)
9,Edge Wick,Kg/m2/hr,Max,1.40,1.40,-
10,Moisture,%,,6.0±0.5,6.0±0.5,IS 1060 (1)